protoid	name	species	femina_rate	class	min_take_level	quality_to_growth	born_abilities	born_attr	born_talents	born_skills	happiness_cast	born_quality	born_quality_up	can_delete	can_explore
3002	霜狼	2	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3003	熊猫旗手	2	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3004	幽冥虎	2	50	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3005	刃豹	2	50	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3006	蝶仙	1	100	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3007	高贵仙女	1	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3008	潮喵喵	1	30	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3009	寒冰比蒙	1	30	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3010	乔巴小兵	1	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3011	机关大将	1	30	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3012	冰雪公主	3	100	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3013	炎王	3	0	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3014	六尾灵狐	3	0	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3015	成年麒麟	4	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3016	成年喵喵	4	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3017	成年灵蛇	4	100	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3018	成年青龙	4	50	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3019	成年白虎	4	50	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3020	成年朱雀	2	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3021	成年玄武	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3023	地球卫士	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3027	布鲁	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3031	黄钻麒麟	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
3041	蓝钻麒麟	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{80,90,15,70,400}	{10,10,10,10}	{{100,250},{100,250},{100,250},{100,250}}	[]	{9,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4001	小蜻蜓	2	100	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	1
4002	霜狼	2	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4003	熊猫大侠	2	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4004	幽冥虎	2	50	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4005	刃豹	2	50	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4006	蝶仙	1	100	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4007	丛林花仙	1	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4008	秘术喵喵	1	30	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4009	寒冰比蒙	1	30	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4010	乔巴小兵	1	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4011	机关统帅	1	30	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4012	冰雪女神	3	100	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4013	炎魔	3	0	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4014	九尾灵狐	3	0	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4015	浴火麒麟	4	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4016	喵喵女王	4	50	3	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4017	灵蛇女王	4	100	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4018	圣兽青龙	4	50	1	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4019	圣兽白虎	4	50	2	1	[{1,{1,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4020	圣兽朱雀	2	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4021	圣兽玄武	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4023	地球英雄	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4027	布鲁	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4031	黄钻麒麟	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
4041	蓝钻麒麟	1	50	3	1	[{1,{10,30}},{2,{31,60}},{3,{61,90}},{4,{91,120}},{5,{121,150}}]	{160,95,20,80,800}	{10,10,10,10}	{{100,300},{100,300},{100,300},{100,300}}	[]	{10,100}	[{1,[{{1,15},100}]},{2,[{{21,25},100}]},{3,[{{31,35},100}]},{4,[{{41,45},100}]},{5,[{{51,55},100}]}]	[{1,[{{25,30},100}]},{2,[{{31,35},100}]},{3,[{{61,65},100}]},{4,[{{91,95},100}]},{5,[{{121,125},100}]}]	1	0
