type_section	power_rewards	spawns	item_rewards	skills_level
{1,68}	3	[{1032027,{65,67}},{1032027,{68,62}},{1032027,{29,30}},{1032027,{32,29}},{1032027,{34,30}},{1032027,{68,65}},{1032027,{65,67}},{1032027,{32,33}},{1032027,{35,31}}]	[]	[]
{1,67}	3	[{1032027,{65,67}},{1032027,{68,62}},{1032027,{29,30}},{1032027,{32,29}},{1032027,{34,30}},{1032027,{68,65}},{1032027,{65,67}},{1032027,{32,33}},{1032027,{35,31}}]	[]	[{751000010,7},{751000001,7},{751000002,7},{751000003,7},{751000004,7},{751000009,7}]
{1,66}	3	[{1032026,{65,67}},{1032026,{68,62}},{1032026,{29,30}},{1032026,{32,29}},{1032026,{34,30}},{1032026,{68,65}},{1032026,{65,67}},{1032026,{32,33}},{1032026,{35,31}}]	[]	[]
{1,65}	3	[{1032026,{65,67}},{1032026,{68,62}},{1032026,{29,30}},{1032026,{32,29}},{1032026,{34,30}},{1032026,{68,65}},{1032026,{65,67}},{1032026,{32,33}},{1032026,{35,31}}]	[]	[]
{1,64}	3	[{1032026,{65,67}},{1032026,{68,62}},{1032026,{29,30}},{1032026,{32,29}},{1032026,{34,30}},{1032026,{68,65}},{1032026,{65,67}},{1032026,{32,33}},{1032026,{35,31}}]	[]	[]
{1,63}	3	[{1032025,{65,67}},{1032025,{68,62}},{1032025,{29,30}},{1032025,{32,29}},{1032025,{34,30}},{1032025,{68,65}},{1032025,{65,67}},{1032025,{32,33}},{1032025,{35,31}}]	[]	[]
{1,62}	3	[{1032025,{65,67}},{1032025,{68,62}},{1032025,{29,30}},{1032025,{32,29}},{1032025,{34,30}},{1032025,{68,65}},{1032025,{65,67}},{1032025,{32,33}},{1032025,{35,31}}]	[]	[]
{1,61}	3	[{1032025,{65,67}},{1032025,{68,62}},{1032025,{29,30}},{1032025,{32,29}},{1032025,{34,30}},{1032025,{68,65}},{1032025,{65,67}},{1032025,{32,33}},{1032025,{35,31}}]	[]	[]
{1,60}	3	[{1032024,{48,62}}]	[]	[]
{1,59}	3	[{1032023,{65,67}},{1032023,{68,62}},{1032023,{29,30}},{1032023,{32,29}},{1032023,{34,30}},{1032023,{68,65}},{1032023,{65,67}},{1032023,{32,33}},{1032023,{35,31}}]	[]	[]
{1,58}	3	[{1032023,{65,67}},{1032023,{68,62}},{1032023,{29,30}},{1032023,{32,29}},{1032023,{34,30}},{1032023,{68,65}},{1032023,{65,67}},{1032023,{32,33}},{1032023,{35,31}}]	[]	[]
{1,57}	3	[{1032023,{65,67}},{1032023,{68,62}},{1032023,{29,30}},{1032023,{32,29}},{1032023,{34,30}},{1032023,{68,65}},{1032023,{65,67}},{1032023,{32,33}},{1032023,{35,31}}]	[]	[{751000010,6},{751000001,6},{751000002,6},{751000003,6},{751000004,6},{751000009,6}]
{1,56}	3	[{1032022,{65,67}},{1032022,{68,62}},{1032022,{29,30}},{1032022,{32,29}},{1032022,{34,30}},{1032022,{68,65}},{1032022,{65,67}},{1032022,{32,33}},{1032022,{35,31}}]	[]	[]
{1,55}	3	[{1032022,{65,67}},{1032022,{68,62}},{1032022,{29,30}},{1032022,{32,29}},{1032022,{34,30}},{1032022,{68,65}},{1032022,{65,67}},{1032022,{32,33}},{1032022,{35,31}}]	[]	[]
{1,54}	3	[{1032022,{65,67}},{1032022,{68,62}},{1032022,{29,30}},{1032022,{32,29}},{1032022,{34,30}},{1032022,{68,65}},{1032022,{65,67}},{1032022,{32,33}},{1032022,{35,31}}]	[]	[]
{1,53}	3	[{1032021,{65,67}},{1032021,{68,62}},{1032021,{29,30}},{1032021,{32,29}},{1032021,{34,30}},{1032021,{68,65}},{1032021,{65,67}},{1032021,{32,33}},{1032021,{35,31}}]	[]	[]
{1,52}	3	[{1032021,{65,67}},{1032021,{68,62}},{1032021,{29,30}},{1032021,{32,29}},{1032021,{34,30}},{1032021,{68,65}},{1032021,{65,67}},{1032021,{32,33}},{1032021,{35,31}}]	[]	[]
{1,51}	3	[{1032021,{65,67}},{1032021,{68,62}},{1032021,{29,30}},{1032021,{32,29}},{1032021,{34,30}},{1032021,{68,65}},{1032021,{65,67}},{1032021,{32,33}},{1032021,{35,31}}]	[]	[]
{1,50}	3	[{1032020,{48,62}}]	[]	[]
{1,49}	3	[{1032019,{38,48}},{1032019,{68,62}},{1032019,{29,30}},{1032019,{32,29}},{1032019,{34,30}},{1032019,{68,65}},{1032019,{65,67}},{1032019,{32,33}},{1032019,{35,31}}]	[]	[]
{1,48}	3	[{1032019,{65,67}},{1032019,{68,62}},{1032019,{29,30}},{1032019,{32,29}},{1032019,{34,30}},{1032019,{68,65}},{1032019,{65,67}},{1032019,{32,33}},{1032019,{35,31}}]	[]	[]
{1,47}	3	[{1032019,{65,67}},{1032019,{68,62}},{1032019,{29,30}},{1032019,{32,29}},{1032019,{34,30}},{1032019,{68,65}},{1032019,{65,67}},{1032019,{32,33}},{1032019,{35,31}}]	[]	[]
{1,46}	3	[{1032018,{65,67}},{1032018,{68,62}},{1032018,{29,30}},{1032018,{32,29}},{1032018,{34,30}},{1032018,{68,65}},{1032018,{65,67}},{1032018,{32,33}},{1032018,{35,31}}]	[]	[{751000010,5},{751000001,5},{751000002,5},{751000003,5},{751000004,5},{751000009,5}]
{1,45}	3	[{1032018,{65,67}},{1032018,{68,62}},{1032018,{29,30}},{1032018,{32,29}},{1032018,{34,30}},{1032018,{68,65}},{1032018,{65,67}},{1032018,{32,33}},{1032018,{35,31}}]	[]	[]
{1,44}	3	[{1032018,{65,67}},{1032018,{68,62}},{1032018,{29,30}},{1032018,{32,29}},{1032018,{34,30}},{1032018,{68,65}},{1032018,{65,67}},{1032018,{32,33}},{1032018,{35,31}}]	[]	[]
{1,43}	3	[{1032017,{65,67}},{1032017,{68,62}},{1032017,{29,30}},{1032017,{32,29}},{1032017,{34,30}},{1032017,{68,65}},{1032017,{65,67}},{1032017,{32,33}},{1032017,{35,31}}]	[]	[]
{1,42}	3	[{1032017,{65,67}},{1032017,{68,62}},{1032017,{29,30}},{1032017,{32,29}},{1032017,{34,30}},{1032017,{68,65}},{1032017,{65,67}},{1032017,{32,33}},{1032017,{35,31}}]	[]	[]
{1,41}	3	[{1032017,{65,67}},{1032017,{68,62}},{1032017,{29,30}},{1032017,{32,29}},{1032017,{34,30}},{1032017,{68,65}},{1032017,{65,67}},{1032017,{32,33}},{1032017,{35,31}}]	[]	[]
{1,40}	3	[{1032016,{48,62}}]	[]	[]
{1,39}	3	[{1032015,{65,67}},{1032015,{68,62}},{1032015,{29,30}},{1032015,{32,29}},{1032015,{34,30}},{1032015,{68,65}},{1032015,{65,67}},{1032015,{32,33}},{1032015,{35,31}}]	[]	[]
{1,38}	3	[{1032015,{65,67}},{1032015,{68,62}},{1032015,{29,30}},{1032015,{32,29}},{1032015,{34,30}},{1032015,{68,65}},{1032015,{65,67}},{1032015,{32,33}},{1032015,{35,31}}]	[]	[]
{1,37}	3	[{1032015,{65,67}},{1032015,{68,62}},{1032015,{29,30}},{1032015,{32,29}},{1032015,{34,30}},{1032015,{68,65}},{1032015,{65,67}},{1032015,{32,33}},{1032015,{35,31}}]	[]	[{751000010,4},{751000001,4},{751000002,4},{751000003,4},{751000004,4},{751000009,4}]
{1,36}	3	[{1032014,{65,67}},{1032014,{68,62}},{1032014,{29,30}},{1032014,{32,29}},{1032014,{34,30}},{1032014,{68,65}},{1032014,{65,67}},{1032014,{32,33}},{1032014,{35,31}}]	[]	[]
{1,35}	3	[{1032014,{65,67}},{1032014,{68,62}},{1032014,{29,30}},{1032014,{32,29}},{1032014,{34,30}},{1032014,{68,65}},{1032014,{65,67}},{1032014,{32,33}},{1032014,{35,31}}]	[]	[]
{1,34}	3	[{1032014,{65,67}},{1032014,{68,62}},{1032014,{29,30}},{1032014,{32,29}},{1032014,{34,30}},{1032014,{68,65}},{1032014,{65,67}},{1032014,{32,33}},{1032014,{35,31}}]	[]	[]
{1,33}	3	[{1032013,{65,67}},{1032013,{68,62}},{1032013,{29,30}},{1032013,{32,29}},{1032013,{34,30}},{1032013,{68,65}},{1032013,{65,67}},{1032013,{32,33}},{1032013,{35,31}}]	[]	[]
{1,32}	3	[{1032013,{65,67}},{1032013,{68,62}},{1032013,{29,30}},{1032013,{32,29}},{1032013,{34,30}},{1032013,{68,65}},{1032013,{65,67}},{1032013,{32,33}},{1032013,{35,31}}]	[]	[]
{1,31}	3	[{1032013,{65,67}},{1032013,{68,62}},{1032013,{29,30}},{1032013,{32,29}},{1032013,{34,30}},{1032013,{68,65}},{1032013,{65,67}},{1032013,{32,33}},{1032013,{35,31}}]	[]	[]
{1,30}	3	[{1032012,{48,62}}]	[]	[]
{1,29}	3	[{1032011,{65,67}},{1032011,{68,62}},{1032011,{29,30}},{1032011,{32,29}},{1032011,{34,30}},{1032011,{68,65}},{1032011,{65,67}},{1032011,{32,33}},{1032011,{35,31}}]	[]	[]
{1,28}	3	[{1032011,{65,67}},{1032011,{68,62}},{1032011,{29,30}},{1032011,{32,29}},{1032011,{34,30}},{1032011,{68,65}},{1032011,{65,67}},{1032011,{32,33}},{1032011,{35,31}}]	[]	[]
{1,27}	3	[{1032011,{65,67}},{1032011,{68,62}},{1032011,{29,30}},{1032011,{32,29}},{1032011,{34,30}},{1032011,{68,65}},{1032011,{65,67}},{1032011,{32,33}},{1032011,{35,31}}]	[]	[]
{1,26}	3	[{1032010,{65,67}},{1032010,{68,62}},{1032010,{29,30}},{1032010,{32,29}},{1032010,{34,30}},{1032010,{68,65}},{1032010,{65,67}},{1032010,{32,33}},{1032010,{35,31}}]	[]	[]
{1,25}	3	[{1032010,{65,67}},{1032010,{68,62}},{1032010,{29,30}},{1032010,{32,29}},{1032010,{34,30}},{1032010,{68,65}},{1032010,{65,67}},{1032010,{32,33}},{1032010,{35,31}}]	[]	[]
{1,24}	3	[{1032010,{65,67}},{1032010,{68,62}},{1032010,{29,30}},{1032010,{32,29}},{1032010,{34,30}},{1032010,{68,65}},{1032010,{65,67}},{1032010,{32,33}},{1032010,{35,31}}]	[]	[]
{1,23}	3	[{1032009,{65,67}},{1032009,{68,62}},{1032009,{29,30}},{1032009,{32,29}},{1032009,{34,30}},{1032009,{68,65}},{1032009,{65,67}},{1032009,{32,33}},{1032009,{35,31}}]	[]	[]
{1,22}	3	[{1032009,{65,67}},{1032009,{68,62}},{1032009,{29,30}},{1032009,{32,29}},{1032009,{34,30}},{1032009,{68,65}},{1032009,{65,67}},{1032009,{32,33}},{1032009,{35,31}}]	[]	[{751000010,3},{751000001,3},{751000002,3},{751000003,3},{751000004,3},{751000009,3}]
{1,21}	3	[{1032009,{65,67}},{1032009,{68,62}},{1032009,{29,30}},{1032009,{32,29}},{1032009,{34,30}},{1032009,{68,65}},{1032009,{65,67}},{1032009,{32,33}},{1032009,{35,31}}]	[]	[]
{1,20}	3	[{1032008,{48,62}}]	[]	[]
{1,19}	3	[{1032007,{65,67}},{1032007,{68,62}},{1032007,{29,30}},{1032007,{32,29}},{1032007,{34,30}},{1032007,{68,65}}]	[]	[]
{1,18}	3	[{1032007,{65,67}},{1032007,{68,62}},{1032007,{29,30}},{1032007,{32,29}},{1032007,{34,30}},{1032007,{68,65}}]	[]	[]
{1,17}	3	[{1032007,{65,67}},{1032007,{68,62}},{1032007,{29,30}},{1032007,{32,29}},{1032007,{34,30}},{1032007,{68,65}}]	[]	[{751000010,2},{751000001,2},{751000002,2},{751000003,2},{751000004,2},{751000009,2}]
{1,16}	3	[{1032006,{65,67}},{1032006,{68,62}},{1032006,{29,30}},{1032006,{32,29}},{1032006,{34,30}},{1032006,{68,65}}]	[]	[]
{1,15}	3	[{1032006,{65,67}},{1032006,{68,62}},{1032006,{29,30}},{1032006,{32,29}},{1032006,{34,30}},{1032006,{68,65}}]	[]	[]
{1,14}	3	[{1032006,{65,67}},{1032006,{68,62}},{1032006,{29,30}},{1032006,{32,29}},{1032006,{34,30}},{1032006,{68,65}}]	[]	[]
{1,13}	3	[{1032005,{65,67}},{1032005,{68,62}},{1032005,{29,30}},{1032005,{32,29}},{1032005,{34,30}},{1032005,{68,65}}]	[]	[]
{1,12}	3	[{1032005,{65,67}},{1032005,{68,62}},{1032005,{29,30}},{1032005,{32,29}},{1032005,{34,30}},{1032005,{68,65}}]	[]	[]
{1,11}	3	[{1032005,{65,67}},{1032005,{68,62}},{1032005,{29,30}},{1032005,{32,29}},{1032005,{34,30}},{1032005,{68,65}}]	[]	[]
{1,10}	3	[{1032004,{48,62}}]	[]	[]
{1,9}	3	[{1032003,{65,67}},{1032003,{68,62}},{1032003,{29,30}},{1032003,{32,29}},{1032003,{34,30}},{1032003,{68,65}}]	[]	[]
{1,8}	3	[{1032003,{65,67}},{1032003,{68,62}},{1032003,{29,30}},{1032003,{32,29}},{1032003,{34,30}},{1032003,{68,65}}]	[]	[]
{1,7}	3	[{1032003,{65,67}},{1032003,{68,62}},{1032003,{29,30}},{1032003,{32,29}},{1032003,{34,30}},{1032003,{68,65}}]	[]	[]
{1,6}	3	[{1032002,{65,67}},{1032002,{68,62}},{1032002,{29,30}},{1032002,{32,29}}]	[]	[]
{1,5}	3	[{1032002,{65,67}},{1032002,{68,62}},{1032002,{29,30}},{1032002,{32,29}}]	[]	[]
{1,4}	3	[{1032002,{65,67}},{1032002,{68,62}},{1032002,{29,30}},{1032002,{32,29}}]	[]	[]
{1,3}	3	[{1032001,{65,67}},{1032001,{68,62}},{1032001,{29,30}},{1032001,{32,29}}]	[]	[]
{1,2}	3	[{1032001,{65,67}},{1032001,{68,62}},{1032001,{29,30}},{1032001,{32,29}}]	[]	[]
{1,1}	3	[{1032001,{65,67}},{1032001,{68,62}},{1032001,{29,30}},{1032001,{32,29}}]	[]	[{751000005,0},{751000006,0},{751000007,0},{751000008,0},{751000001,1},{751000002,1},{751000003,1},{751000004,1},{751000009,1},{75100010,1}]
